"Year","Actual","Cyclically adjusted","Cyclically adjusted primary"
1991-92,	-32319,	-30101,	13760
1992-93,	-39019,	-32061,	9271
1993-94,	-38530,	-32057,	8042
1994-95,	-36632,	-32793,	11392
1995-96,	-30006,	-28490,	20917
1996-97,	-8719,	-4459,	42822
1997-98,	2959,	3543,	46663
1998-99,	5779,	10157,	53460
1999-00,	14258,	17625,	61009
2000-01,	19891,	12145,	56037
2001-02,	8048,	9495,	49146
2002-03,	6621,	14478,	51748
2003-04,	9145,	11954,	47723
2004-05,	1463,	11244,	45362
2005-06,	13218,	12699,	46471
2006-07,	13752,	7561,	41506
2007-08,	9597,	165,	33490
2008-09,	-5755,	-4275,	26715
2009-10,	-55598,	-12720,	16694
2010-11,	-33372,	-11488,	19383
2011-12,	-26279,	-17157,	13923
2012-13,	-18415,	-15115,	13756
2013-14,	-5150,	-3083,	25137
