"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Net Transfer Growth and Financial Security Fund","Net Transfer Saskatchewan Infrastructure Fund","Reported balance","Net debt"
1990-91,	3169,	1489,	4658,	4544,	475,	5019,	0,	-361,	0,	0,	-361,	3688
1991-92,	2789,	1260,	4049,	4390,	502,	4892,	0,	-843,	0,	0,	-843,	5999
1992-93,	3072,	1304,	4376,	4228,	740,	4968,	0,	-592,	0,	0,	-592,	6587
1993-94,	3432,	1248,	4680,	4079,	873,	4952,	0,	-272,	0,	0,	-272,	7769
1994-95,	3928,	1297,	5225,	4215,	882,	5097,	0,	128,	0,	0,	128,	7641
1995-96,	4157,	975,	5132,	4264,	849,	5113,	0,	19,	0,	0,	19,	7622
1996-97,	4742,	761,	5503,	4302,	794,	5096,	0,	407,	0,	0,	407,	7215
1997-98,	4609,	553,	5162,	4372,	755,	5127,	0,	35,	0,	0,	35,	7180
1998-99,	4642,	961,	5603,	4830,	745,	5575,	0,	28,	0,	0,	28,	7152
1999-00,	4648,	1209,	5857,	5077,	696,	5773,	0,	83,	0,	0,	83,	7069
2000-01,	5881,	872,	6754,	5257,	664,	5921,	0,	833,	-775,	0,	58,	7011
2001-02,	4822,	1237,	6059,	5721,	617,	6338,	0,	-279,	280,	0,	1,	7010
2002-03,	5656,	801,	6457,	5762,	611,	6374,	0,	83,	-82,	0,	1,	7009
2003-04,	5525,	1033,	6558,	6166,	603,	6768,	0,	-210,	211,	0,	1,	7054
2004-05,	6126,	1666,	7792,	6448,	579,	7027,	0,	765,	-383,	0,	383,	6880
2005-06,	6952,	1265,	8218,	7133,	545,	7678,	0,	539,	-139,	0,	400,	6636
2006-07,	7254,	1389,	8643,	7707,	538,	8245,	0,	398,	0,	-105,	293,	6446
2007-08,	8263,	1603,	9866,	8036,	547,	8583,	0,	1283,	-641,	0,	641,	6049
2008-09,	10616,	1709,	12325,	9835,	520,	10355,	0,	1970,	419,	0,	2389,	3848
2009-10,	8662,	1604,	10266,	9619,	480,	10099,	0,	168,	257,	0,	425,	3638
2010-11,	9460,	1600,	11061,	10541,	424,	10965,	0,	95,	-48,	0,	48,	3676
2011-12,	9394,	1726,	11120,	10654,	412,	11066,	0,	55,	298,	0,	352,	3560
2012-13,	9753,	1671,	11424,	11018,	391,	11409,	0,	16,	42,	0,	58,	3826
2013-14,	9836,	1628,	11463,	11260,	331,	11591,	0,	-128,	135,	0,	7,	4213
