"Year","Own-source revenues","Federal cash transfers","Total revenues","Total program expenditures","Debt charges","Total expenditures","Other","Deficit or surplus","Net debt"
1990-91,	104,	229,	333,	344,	0,	344,	0,	-12,	-64
1991-92,	108,	243,	351,	365,	0,	365,	0,	-14,	-50
1992-93,	89,	267,	356,	419,	1,	420,	0,	-64,	13
1993-94,	154,	307,	461,	445,	1,	446,	0,	15,	-2
1994-95,	172,	310,	482,	452,	1,	453,	0,	29,	-31
1995-96,	168,	321,	489,	460,	0,	460,	0,	29,	-60
1996-97,	157,	286,	443,	454,	0,	455,	0,	-12,	-48
1997-98,	153,	302,	455,	450,	0,	451,	0,	4,	-51
1998-99,	115,	371,	485,	455,	0,	455,	0,	30,	-80
1999-00,	153,	330,	483,	499,	0,	500,	0,	-16,	-64
2000-01,	166,	386,	552,	518,	0,	518,	1,	35,	-99
2001-02,	129,	374,	503,	524,	0,	525,	1,	-21,	-85
2002-03,	148,	402,	550,	555,	0,	556,	1,	-5,	-80
2003-04,	140,	456,	597,	585,	0,	586,	1,	12,	-76
2004-05,	154,	506,	659,	654,	0,	655,	1,	5,	-413
2005-06,	158,	584,	742,	668,	0,	668,	1,	75,	-488
2006-07,	175,	610,	784,	727,	0,	727,	1,	57,	-546
2007-08,	181,	597,	778,	769,	0,	769,	1,	10,	-546
2008-09,	213,	613,	826,	826,	0,	826,	1,	1,	-547
2009-10,	218,	656,	874,	901,	0,	901,	1,	-26,	-522
2010-11,	257,	690,	947,	955,	0,	955,	1,	-7,	-515
2011-12,	289,	744,	1033,	974,	0,	974,	1,	60,	-575
2012-13,	327,	809,	1136,	1031,	0,	1031,	0,	105,	-656
2013-14,	310,	859,	1169,	1137,	0,	1137,	0,	32,	NA
