"Year","Budgetary revenues","Program spending","Operating surplus or deficit","Public debt charges","Budgetary surplus or deficit","Net public debt","Non-budgetary transactions","Financial requirements / surplus (excl. foreign exchange)"
1946-47,	3034,	2135,	899,	469,	430,	12592,	-896,	-466
1947-48,	2884,	1713,	1171,	457,	714,	11878,	0,	0
1948-49,	2790,	1644,	1146,	463,	683,	11195,	0,	0
1949-50,	2600,	1997,	603,	437,	166,	11029,	0,	0
1950-51,	3153,	2452,	701,	423,	278,	10751,	0,	0
1951-52,	4101,	3252,	849,	512,	337,	10414,	83,	420
1952-53,	4628,	4563,	65,	442,	-377,	10790,	0,	0
1953-54,	4737,	4666,	71,	470,	-399,	11189,	0,	0
1954-55,	4440,	4555,	-115,	476,	-591,	11780,	0,	0
1955-56,	4748,	4299,	449,	489,	-40,	11819,	0,	0
1956-57,	5582,	4757,	825,	508,	317,	11502,	138,	455
1957-58,	5456,	5114,	342,	543,	-201,	11703,	-145,	-346
1958-59,	5159,	5399,	-240,	636,	-876,	12580,	-602,	-1478
1959-60,	5896,	5788,	109,	776,	-668,	13247,	184,	-484
1960-61,	6322,	6118,	204,	788,	-584,	13831,	260,	-324
1961-62,	6468,	6630,	-162,	832,	-994,	14825,	141,	-853
1962-63,	6662,	6595,	67,	915,	-848,	15673,	-91,	-939
1963-64,	7099,	7304,	-205,	993,	-1198,	16871,	939,	-259
1964-65,	8220,	7542,	678,	1050,	-372,	17243,	456,	84
1965-66,	9063,	7933,	1131,	1110,	21,	17223,	77,	98
1966-67,	9860,	9164,	696,	1182,	-486,	17708,	-176,	-662
1967-68,	10745,	10501,	244,	1286,	-1042,	18750,	-340,	-1382
1968-69,	12047,	11250,	798,	1464,	-666,	19417,	-151,	-817
1969-70,	14399,	12566,	1833,	1694,	139,	19277,	91,	230
1970-71,	14982,	14111,	871,	1887,	-1016,	20293,	-17,	-1033
1971-72,	16619,	16295,	324,	2110,	-1786,	22079,	413,	-1373
1972-73,	19205,	18807,	399,	2300,	-1901,	23980,	586,	-1315
1973-74,	22430,	22076,	354,	2565,	-2211,	26191,	686,	-1525
1974-75,	29251,	28238,	1013,	3238,	-2225,	28416,	77,	-2148
1975-76,	31657,	33892,	-2235,	3970,	-6205,	34620,	1421,	-4784
1976-77,	34408,	36596,	-2188,	4708,	-6896,	41517,	1338,	-5558
1977-78,	34626,	39974,	-5348,	5531,	-10879,	52396,	2418,	-8461
1978-79,	36974,	42980,	-6005,	7024,	-13029,	65425,	1805,	-11224
1979-80,	42029,	45502,	-3473,	8494,	-11967,	77392,	1818,	-10149
1980-81,	48867,	52765,	-3898,	10658,	-14556,	91948,	4639,	-9917
1981-82,	60307,	60867,	-560,	15114,	-15674,	107622,	6410,	-9264
1982-83,	60662,	72808,	-12146,	16903,	-29049,	136671,	5230,	-23819
1983-84,	64168,	78968,	-14800,	18077,	-32877,	169549,	7658,	-25219
1984-85,	71056,	87100,	-16044,	22393,	-38437,	207986,	8613,	-29824
1985-86,	76933,	86106,	-9173,	25422,	-34595,	242581,	4085,	-30510
1986-87,	85931,	90005,	-4074,	26668,	-30742,	273323,	7824,	-22918
1987-88,	97612,	96453,	1159,	28953,	-27794,	301117,	8945,	-18849
1988-89,	104067,	99688,	4379,	33152,	-28773,	329890,	6349,	-22424
1989-90,	113707,	103848,	9859,	38789,	-28930,	358820,	8400,	-20530
1990-91,	119353,	108765,	10588,	42588,	-32000,	390820,	7462,	-24538
1991-92,	122032,	115215,	6817,	41174,	-34357,	425177,	2557,	-31800
1992-93,	120380,	122576,	-2196,	38825,	-41021,	466198,	6524,	-34497
1993-94,	115984,	120014,	-4030,	37982,	-42012,	508210,	12162,	-29850
1994-95,	123323,	118739,	4584,	42046,	-37462,	545672,	11620,	-25842
1995-96,	130301,	112013,	18288,	46905,	-28617,	574289,	11434,	-17183
1996-97,	140896,	104820,	36076,	44973,	-8897,	583186,	10162,	1265
1997-98,	153162,	108753,	44409,	40931,	3478,	579708,	9251,	12729
1998-99,	155671,	111393,	44278,	41394,	2884,	576824,	8607,	11491
